Country,Name,Artist,Listeners,Longitude,Latitude,longitude_offset,latitude_offset
Netherlands,Seven Nation Army,The White Stripes,2343189,52.1326,5.2913,51.11053942834168,6.743755476697229
Netherlands,Under the Bridge,Red Hot Chili Peppers,2211851,52.1326,5.2913,53.417634939150545,5.0687939923434815
Netherlands,All I Want for Christmas Is You,Mariah Carey,1669836,52.1326,5.2913,53.67998205920099,6.443592960373726
Netherlands,The Less I Know the Better,Tame Impala,1820269,52.1326,5.2913,51.76734659339268,5.676482324293836
Netherlands,Mr. Brightside,The Killers,3072882,52.1326,5.2913,53.09420996920652,6.021909366117205
Netherlands,Creep,Radiohead,2870305,52.1326,5.2913,54.013351927990634,6.472230098850847
Belgium,The Less I Know the Better,Tame Impala,1820269,50.5039,4.4699,48.7643425374817,5.854967064608613
Belgium,Smells Like Teen Spirit,Nirvana,3206072,50.5039,4.4699,52.27788216960714,4.424564698477486
Belgium,Sultans of Swing,Dire Straits,1522259,50.5039,4.4699,52.2881999391938,4.382888840463201
Belgium,Africa,Toto,1647599,50.5039,4.4699,51.82282371663626,6.360594437180281
Belgium,Creep,Radiohead,2870305,50.5039,4.4699,52.416833738950345,5.541270750186179
Belgium,Come as You Are,Nirvana,2829904,50.5039,4.4699,50.43823056087885,5.843871427953859
Belgium,Teardrop,Massive Attack,1600282,50.5039,4.4699,49.94739315000562,4.648028379827283
Belgium,Karma Police,Radiohead,2466252,50.5039,4.4699,50.8667704618689,4.736413229834108
Belgium,Under the Bridge,Red Hot Chili Peppers,2211851,50.5039,4.4699,51.58366740024235,5.588739826060954
Belgium,Take on Me,a-ha,2148860,50.5039,4.4699,52.0581943369816,5.9848302546129855
China,Hello,Adele,820388,35.8617,104.1954,36.952912015600866,103.35295466887341
China,Yellow,Coldplay,2642867,35.8617,104.1954,37.430811821933894,102.6878395014727
China,Viva la Vida,Coldplay,2598238,35.8617,104.1954,36.48028653679591,105.65014677153933
China,Someone Like You,Adele,1689461,35.8617,104.1954,35.73443205370934,105.78995245229277
China,Shape of You,Ed Sheeran,951830,35.8617,104.1954,37.63680191477178,105.51356127887973
China,Rolling in the Deep,Adele,2083061,35.8617,104.1954,34.08804113324823,105.3894518794771
China,Blank Space,Taylor Swift,1365712,35.8617,104.1954,36.27543926053083,103.89970585722388
China,Can't Feel My Face,The Weeknd,1322599,35.8617,104.1954,37.535404994356654,104.89065919411892
China,When We Were Young,Adele,744590,35.8617,104.1954,35.947966766011064,105.13764482890352
China,Send My Love (To Your New Lover),Adele,684622,35.8617,104.1954,34.80752995040616,103.8476582970905
India,Yellow,Coldplay,2642867,20.5937,78.9629,21.034031706581537,80.64579435291579
India,The Scientist,Coldplay,2306951,20.5937,78.9629,20.63753440104257,78.69432345947322
India,Wish You Were Here,Pink Floyd,1638667,20.5937,78.9629,20.736554860449985,79.61255486804204
India,In the End,Linkin Park,2311704,20.5937,78.9629,20.682583734431393,79.05848909899348
India,Comfortably Numb,Pink Floyd,1269582,20.5937,78.9629,20.27908156960579,80.64926253504743
India,Smells Like Teen Spirit,Nirvana,3206072,20.5937,78.9629,22.20999944572175,79.49052137937747
India,Sweet Child o' Mine,Guns N' Roses,2065128,20.5937,78.9629,21.14523809106251,80.31614478265804
India,Shape of You,Ed Sheeran,951830,20.5937,78.9629,19.29985605375058,78.1144557487313
India,Numb,Linkin Park,2126574,20.5937,78.9629,21.577620913627328,79.23228491921654
India,Fix You,Coldplay,2063808,20.5937,78.9629,19.68330858597033,80.48136463611547
Japan,ロビンソン,スピッツ,25556,36.2048,138.2529,37.286486491884894,139.0920351183218
Japan,新宝島,サカナクション,16911,36.2048,138.2529,37.38310681612676,136.7600773770905
Japan,STAY TUNE,Suchmos,35943,36.2048,138.2529,36.513099801960756,137.30829427139562
Japan,リライト,ASIAN KUNG-FU GENERATION,88062,36.2048,138.2529,36.44764481122571,136.9648292640695
Japan,花束を君に,宇多田ヒカル,14481,36.2048,138.2529,34.61949984835333,138.06467739226727
Japan,チェリー,スピッツ,23393,36.2048,138.2529,37.38417708634868,138.3554606558858
