Country,Name,Artist,Listeners,Longitude,Latitude
Thailand,Yellow,Coldplay,2642867,15.87,100.9925
Thailand,Shape of You,Ed Sheeran,951830,15.87,100.9925
Thailand,The Scientist,Coldplay,2306951,15.87,100.9925
Thailand,Thinking Out Loud,Ed Sheeran,952337,15.87,100.9925
Thailand,Photograph,Ed Sheeran,896998,15.87,100.9925
Thailand,Creep,Radiohead,2870305,15.87,100.9925
Thailand,Hello,Adele,820388,15.87,100.9925
Thailand,Mr. Brightside,The Killers,3072882,15.87,100.9925
Thailand,Smells Like Teen Spirit,Nirvana,3206072,15.87,100.9925
Thailand,Somewhere Only We Know,Keane,1818045,15.87,100.9925
Malaysia,Yellow,Coldplay,2642867,4.2105,101.9758
Malaysia,The Scientist,Coldplay,2306951,4.2105,101.9758
Malaysia,Photograph,Ed Sheeran,896998,4.2105,101.9758
Malaysia,Mr. Brightside,The Killers,3072882,4.2105,101.9758
Malaysia,In the End,Linkin Park,2311704,4.2105,101.9758
Malaysia,Somewhere Only We Know,Keane,1818045,4.2105,101.9758
Malaysia,Fix You,Coldplay,2063808,4.2105,101.9758
Malaysia,Viva la Vida,Coldplay,2598238,4.2105,101.9758
Malaysia,Hello,Adele,820388,4.2105,101.9758
Malaysia,Creep,Radiohead,2870305,4.2105,101.9758
United States,Mr. Brightside,The Killers,3072882,37.0902,-95.7129
United States,Float On,Modest Mouse,1511068,37.0902,-95.7129
United States,The Less I Know the Better,Tame Impala,1820269,37.0902,-95.7129
United States,Smells Like Teen Spirit,Nirvana,3206072,37.0902,-95.7129
United States,Everybody Wants to Rule the World,Tears for Fears,1938938,37.0902,-95.7129
United States,Can't Feel My Face,The Weeknd,1322599,37.0902,-95.7129
United States,Everlong,Foo Fighters,2339983,37.0902,-95.7129
United States,Seven Nation Army,The White Stripes,2343189,37.0902,-95.7129
United States,The Middle,Jimmy Eat World,1581066,37.0902,-95.7129
United States,Electric Feel,MGMT,2142858,37.0902,-95.7129
Canada,Mr. Brightside,The Killers,3072882,56.1304,-106.3468
Canada,Smells Like Teen Spirit,Nirvana,3206072,56.1304,-106.3468
Canada,Seven Nation Army,The White Stripes,2343189,56.1304,-106.3468
Canada,The Less I Know the Better,Tame Impala,1820269,56.1304,-106.3468
Canada,Karma Police,Radiohead,2466252,56.1304,-106.3468
Canada,Creep,Radiohead,2870305,56.1304,-106.3468
Canada,Can't Feel My Face,The Weeknd,1322599,56.1304,-106.3468
Canada,Come as You Are,Nirvana,2829904,56.1304,-106.3468
Canada,Feel Good Inc.,Gorillaz,2661048,56.1304,-106.3468
Canada,Take on Me,a-ha,2148860,56.1304,-106.3468
Mexico,Creep,Radiohead,2870305,23.6345,-102.5528
Mexico,Seven Nation Army,The White Stripes,2343189,23.6345,-102.5528
Mexico,Take Me Out,Franz Ferdinand,2363976,23.6345,-102.5528
Mexico,Mr. Brightside,The Killers,3072882,23.6345,-102.5528
Mexico,The Less I Know the Better,Tame Impala,1820269,23.6345,-102.5528
Mexico,Reptilia,The Strokes,1919555,23.6345,-102.5528
Mexico,Feel Good Inc.,Gorillaz,2661048,23.6345,-102.5528
Mexico,Do I Wanna Know?,Arctic Monkeys,2128754,23.6345,-102.5528
Mexico,Last Nite,The Strokes,1656955,23.6345,-102.5528
Mexico,Take on Me,a-ha,2148860,23.6345,-102.5528
Guatemala,Creep,Radiohead,2870305,15.7835,-90.2308
Guatemala,Losing My Religion,R.E.M.,1842134,15.7835,-90.2308
