Country,Longitude,Latitude,Artist,Listeners,longitude_offset,latitude_offset
Spain,40.4637,-3.7492,The Beatles,5334045,40.69818676187413,-2.600781320441307
Spain,40.4637,-3.7492,Muse,5211484,39.409886408098515,-3.0561363696451163
Spain,40.4637,-3.7492,The Cure,4338832,39.54557323124502,-2.9746386072290028
Spain,40.4637,-3.7492,Daft Punk,5226051,41.19382473690179,-3.3458497905990585
Spain,40.4637,-3.7492,The Weeknd,3979631,40.51268305071511,-2.8370392540576184
Ukraine,48.3794,31.1656,Radiohead,6589277,49.31853281954324,30.498725691508604
Ukraine,48.3794,31.1656,Red Hot Chili Peppers,6036073,48.392530170639226,31.624016445430936
Ukraine,48.3794,31.1656,Linkin Park,5427114,49.733149133147364,30.384864840932494
Ukraine,48.3794,31.1656,Muse,5211484,46.78291074605245,29.25210277510609
Ukraine,48.3794,31.1656,Coldplay,7483430,46.573155501202336,30.79076475192869
Ukraine,48.3794,31.1656,Nirvana,6095792,48.88143018157913,31.361049131498
Ukraine,48.3794,31.1656,Queen,5891543,47.426248968466005,29.681179732889163
Ukraine,48.3794,31.1656,Metallica,4096612,46.65974621436732,30.53347277875931
Ukraine,48.3794,31.1656,Depeche Mode,3639554,49.636040236618925,31.19658929316813
Ukraine,48.3794,31.1656,Lana Del Rey,4089352,50.35259698776912,31.641797148060157
Poland,51.9194,19.1451,Coldplay,7483430,50.46168384370024,19.950736326689956
Poland,51.9194,19.1451,Queen,5891543,50.23861622664906,19.47845667379327
Poland,51.9194,19.1451,Red Hot Chili Peppers,6036073,52.7381551720136,20.22376313477178
Poland,51.9194,19.1451,Metallica,4096612,52.51102670391736,17.927891784121226
Poland,51.9194,19.1451,Ed Sheeran,3323699,52.96158868367965,18.965621187518316
Poland,51.9194,19.1451,David Bowie,4621259,50.24466839755063,18.000843308239805
Poland,51.9194,19.1451,Arctic Monkeys,5680270,50.47073336693377,17.31840036278535
Poland,51.9194,19.1451,Radiohead,6589277,53.24958112764946,20.299764750814493
Poland,51.9194,19.1451,Sia,3515677,53.714947612598365,19.850866029637377
Poland,51.9194,19.1451,Nirvana,6095792,52.96144368909785,19.039794408706232
Netherlands,52.1326,5.2913,Coldplay,7483430,52.193327568164854,5.290327654293083
Netherlands,52.1326,5.2913,David Bowie,4621259,51.5197480750707,5.1558266847944125
Netherlands,52.1326,5.2913,Queen,5891543,53.62495164159501,6.342920292854615
Netherlands,52.1326,5.2913,Radiohead,6589277,53.833065121254315,3.5979208001808876
Netherlands,52.1326,5.2913,Fleetwood Mac,3704944,53.32736888492045,6.9009056997181
Netherlands,52.1326,5.2913,The Rolling Stones,5025373,53.584907570736966,4.147179989090111
Netherlands,52.1326,5.2913,The Beatles,5334045,51.798232246728446,6.720845720504755
Netherlands,52.1326,5.2913,Red Hot Chili Peppers,6036073,51.23390511862825,6.553926600567687
Netherlands,52.1326,5.2913,Ed Sheeran,3323699,51.57168472098866,6.738385283818166
Netherlands,52.1326,5.2913,Michael Jackson,5325643,51.61407230965387,4.849979977677453
Belgium,50.5039,4.4699,David Bowie,4621259,49.24084149405208,6.418816653214932
Belgium,50.5039,4.4699,Radiohead,6589277,50.520890143681775,5.798096022861006
Belgium,50.5039,4.4699,Coldplay,7483430,49.55411240456685,3.128135618013732
Belgium,50.5039,4.4699,The Beatles,5334045,50.9806461355868,3.9767927548308597
Belgium,50.5039,4.4699,Queen,5891543,50.16750645207476,2.7031426881465204
